model,mae,rmse
lgbm_tuned,25.06169053172048,65.94523575880923
lgbm_untuned,32.50717881741724,83.11761658882128
naive,42.23689359405342,111.12645841742798
rolling_avg_24h,219.88164456598474,482.83082413927036
